"Odds.homeWin","Odds.draw","Odds.awayWin","halfTime_score_Home","halfTime_score_Away","fullTime_score_Home","fullTime_score_Away","homeTeam","awayTeam","winner"
2.07,3.29,3.52,0,2,1,2,"EC Bahia","SC Recife","AWAY_TEAM"
3.21,3.44,2.13,1,3,2,3,"Goiás EC","Santos FC","AWAY_TEAM"
1.99,3.17,3.98,0,0,0,0,"Fortaleza EC","AC Goianiense","DRAW"
1.43,4.56,6.56,4,1,4,1,"CA Mineiro","CR Vasco da Gama","HOME_TEAM"
2.38,3.25,2.95,1,1,1,1,"SC Corinthians Paulista","Santos FC","DRAW"
1.54,4.22,5.53,2,1,2,1,"Grêmio FBPA","Coritiba FBC","HOME_TEAM"
2.18,3.47,3.12,3,0,3,0,"EC Bahia","CR Vasco da Gama","HOME_TEAM"
1.31,5.39,9,0,0,3,0,"CR Flamengo","SC Recife","HOME_TEAM"
1.62,3.71,5.39,1,0,3,0,"São Paulo FC","AC Goianiense","HOME_TEAM"
2.82,3.48,2.33,1,4,2,4,"Goiás EC","Fluminense FC","AWAY_TEAM"
4.41,3.61,1.79,0,1,2,1,"Botafogo FR","SE Palmeiras","HOME_TEAM"
3.87,3.43,1.96,1,1,2,1,"Fortaleza EC","CA Mineiro","HOME_TEAM"
2.05,3.38,3.47,0,0,0,0,"CA Paranaense","Ceará SC","DRAW"
2.86,3.12,2.51,0,2,0,2,"RB Bragantino","SC Internacional","AWAY_TEAM"
6.41,4,1.5,1,2,1,2,"CR Vasco da Gama","CR Flamengo","AWAY_TEAM"
2.79,2.96,2.64,0,0,0,0,"Coritiba FBC","Fortaleza EC","DRAW"
1.85,3.54,4.16,0,2,0,2,"SE Palmeiras","São Paulo FC","AWAY_TEAM"
1.27,5.74,8.95,2,0,3,0,"CA Mineiro","Goiás EC","HOME_TEAM"
3.1,3.03,2.37,1,1,2,1,"Santos FC","Grêmio FBPA","HOME_TEAM"
2.23,3.15,3.21,0,0,1,0,"Fluminense FC","EC Bahia","HOME_TEAM"
2.41,3.33,2.82,1,1,2,1,"AC Goianiense","RB Bragantino","HOME_TEAM"
2.24,3.01,3.39,0,2,1,2,"SC Recife","Botafogo FR","AWAY_TEAM"
1.77,3.27,5.13,2,1,2,1,"SC Internacional","CA Paranaense","HOME_TEAM"
2.29,3.13,3.14,1,1,2,1,"Ceará SC","SC Corinthians Paulista","HOME_TEAM"
1.19,6.78,12.43,1,1,2,1,"CR Flamengo","Goiás EC","HOME_TEAM"
1.4,4.39,7.86,1,3,1,3,"SE Palmeiras","Coritiba FBC","AWAY_TEAM"
1.56,3.93,5.79,1,1,3,1,"Grêmio FBPA","Botafogo FR","HOME_TEAM"
1.84,3.51,4.14,0,1,0,1,"Santos FC","AC Goianiense","AWAY_TEAM"
1.47,4.29,6.46,0,1,1,1,"CA Mineiro","Fluminense FC","DRAW"
3.5,3.17,2.12,1,5,3,5,"SC Recife","SC Internacional","AWAY_TEAM"
2.1,3.23,3.48,0,1,0,1,"CA Paranaense","SC Corinthians Paulista","AWAY_TEAM"
1.42,4.83,6.72,0,1,1,1,"CR Flamengo","RB Bragantino","DRAW"
3.04,3.36,2.23,0,1,1,1,"Goiás EC","EC Bahia","DRAW"
2.25,3.1,3.24,1,1,1,1,"AC Goianiense","CA Paranaense","DRAW"
2.84,3.21,2.44,0,2,1,2,"Coritiba FBC","Santos FC","AWAY_TEAM"
2.1,3.12,3.6,1,2,2,2,"Fluminense FC","Ceará SC","DRAW"
2.06,3.18,3.66,0,0,0,0,"São Paulo FC","Grêmio FBPA","DRAW"
4.04,3.74,1.82,0,5,1,5,"SC Corinthians Paulista","CR Flamengo","AWAY_TEAM"
1.45,4.15,7,2,0,2,0,"SC Internacional","CR Vasco da Gama","HOME_TEAM"
3.07,2.99,2.43,2,0,2,0,"Fortaleza EC","SE Palmeiras","HOME_TEAM"
1.8,3.63,4.16,0,0,2,0,"RB Bragantino","SC Recife","HOME_TEAM"
1.63,3.99,4.8,0,0,0,0,"Botafogo FR","Goiás EC","DRAW"
3.48,3.76,1.93,0,1,3,1,"EC Bahia","CA Mineiro","HOME_TEAM"
2.64,2.88,2.88,0,2,1,2,"CR Vasco da Gama","SC Corinthians Paulista","AWAY_TEAM"
1.51,4.24,5.73,1,0,2,0,"RB Bragantino","Goiás EC","HOME_TEAM"
1.82,3.38,4.28,1,1,2,1,"Ceará SC","Coritiba FBC","HOME_TEAM"
1.29,5.25,9.64,0,0,0,0,"CA Mineiro","SC Recife","DRAW"
3.12,3.01,2.34,0,3,0,3,"AC Goianiense","SE Palmeiras","AWAY_TEAM"
2.32,3.14,3.06,1,1,3,1,"Fluminense FC","Santos FC","HOME_TEAM"
2.61,3.12,2.66,2,2,2,2,"SC Internacional","CR Flamengo","DRAW"
2.8,3.05,2.53,1,2,1,2,"CA Paranaense","Grêmio FBPA","AWAY_TEAM"
2.33,3.19,3.05,2,2,2,2,"Botafogo FR","Ceará SC","DRAW"
2.36,2.96,3.24,1,0,1,0,"Coritiba FBC","AC Goianiense","HOME_TEAM"
3.26,3.05,2.3,1,0,1,0,"SC Corinthians Paulista","SC Internacional","HOME_TEAM"
2.12,3.29,3.41,0,1,0,1,"Fortaleza EC","Fluminense FC","AWAY_TEAM"
1.8,3.56,4.32,1,4,1,4,"CR Flamengo","São Paulo FC","AWAY_TEAM"
2.69,3.15,2.66,0,0,1,0,"SC Recife","CA Paranaense","HOME_TEAM"
2.01,3.39,3.71,3,1,3,1,"Santos FC","EC Bahia","HOME_TEAM"
2.73,3.1,2.64,0,1,1,1,"Goiás EC","CR Vasco da Gama","DRAW"
2.63,3.21,2.63,1,0,3,0,"SE Palmeiras","CA Mineiro","HOME_TEAM"
1.78,3.5,4.54,0,1,2,1,"Grêmio FBPA","RB Bragantino","HOME_TEAM"
2.25,3.2,3.25,0,1,2,1,"CA Paranaense","Fortaleza EC","HOME_TEAM"
1.3,5.31,9.05,1,1,2,1,"São Paulo FC","Goiás EC","HOME_TEAM"
2.38,3.06,3.14,1,1,1,1,"AC Goianiense","SC Corinthians Paulista","DRAW"
1.51,3.77,7.06,1,2,2,2,"SC Internacional","Coritiba FBC","DRAW"
3.83,3.34,1.98,0,1,0,1,"CR Vasco da Gama","SE Palmeiras","AWAY_TEAM"
2.08,3.28,3.54,0,0,1,0,"EC Bahia","Botafogo FR","HOME_TEAM"
2.31,3.57,2.82,2,0,4,0,"CA Mineiro","CR Flamengo","HOME_TEAM"
2.19,3.33,3.22,0,1,1,1,"RB Bragantino","Santos FC","DRAW"
2.69,2.84,2.91,0,1,0,1,"Fluminense FC","Grêmio FBPA","AWAY_TEAM"
